caso,modelo,fraccion_datos,porcentaje_datos,max_epochs,best_epoch,epochs_ejecutadas,batch_size,hidden_channels,lstm_hidden,best_val_loss,test_loss,test_mae,test_rmse,tiempo_segundos,modelo_guardado,grafica_guardada
proximidad,GCN_LSTM,0.25,25,5,5,5,8,32,64,0.0027790822127611117,0.002736584792695687,0.024923080578446388,0.05231237784028053,256.0012664794922,results\experimentos_epocas_datos\modelos\proximidad_GCN_LSTM_datos_25_epochs_5.pt,results\experimentos_epocas_datos\graficas\proximidad_GCN_LSTM_datos_25_epochs_5.png
proximidad,GCN_GRU,0.25,25,5,5,5,8,32,64,0.0027744293293829494,0.0027404144426290593,0.02367374300956726,0.052348967641592026,281.3591585159302,results\experimentos_epocas_datos\modelos\proximidad_GCN_GRU_datos_25_epochs_5.pt,results\experimentos_epocas_datos\graficas\proximidad_GCN_GRU_datos_25_epochs_5.png
proximidad,GAT_LSTM,0.25,25,5,5,5,8,32,64,0.0037378654394794935,0.0036672269305294174,0.026467138901352882,0.06055763363838196,312.28785133361816,results\experimentos_epocas_datos\modelos\proximidad_GAT_LSTM_datos_25_epochs_5.pt,results\experimentos_epocas_datos\graficas\proximidad_GAT_LSTM_datos_25_epochs_5.png
