caso,tipo_adyacencia,modelo,fraccion_datos,porcentaje_datos,max_epochs,best_epoch,epochs_ejecutadas,batch_size,hidden_channels,lstm_hidden,best_val_loss,test_loss,test_mae,test_rmse,tiempo_segundos,modelo_guardado,curva_guardada,pred_vs_real_dir
proximidad_sentido_v2,cercania,GCN_LSTM,0.1,10,2,2,2,4,32,64,0.006832709840791085,0.006616176153337646,0.04403145611286163,0.08133988082408905,20.460783004760742,results\experimentos_epocas_datos\modelos\proximidad_sentido_v2_cercania_GCN_LSTM_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\proximidad_sentido_v2_cercania_GCN_LSTM_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
proximidad,cercania,GAT_LSTM,0.1,10,2,2,2,4,32,64,0.006592872478992891,0.006236944531571986,0.04524778947234154,0.07897432148456573,22.888995885849,results\experimentos_epocas_datos\modelos\proximidad_cercania_GAT_LSTM_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\proximidad_cercania_GAT_LSTM_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
sensores_tal_cual,cercania,GCN_LSTM,0.1,10,2,1,2,4,32,64,0.00853642863988809,0.008852048102202857,0.045801423490047455,0.09408532083034515,132.68918466567993,results\experimentos_epocas_datos\modelos\sensores_tal_cual_cercania_GCN_LSTM_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\sensores_tal_cual_cercania_GCN_LSTM_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
proximidad_sentido_v2,cercania,GAT_LSTM,0.1,10,2,2,2,4,32,64,0.008003542150326629,0.0077848181225208075,0.04763500764966011,0.08823161572217941,28.09268832206726,results\experimentos_epocas_datos\modelos\proximidad_sentido_v2_cercania_GAT_LSTM_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\proximidad_sentido_v2_cercania_GAT_LSTM_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
sensores_tal_cual,cercania,GAT_LSTM,0.1,10,2,2,2,4,32,64,0.00976939431894108,0.010120643004270494,0.04766210913658142,0.10060140490531921,102.27831411361694,results\experimentos_epocas_datos\modelos\sensores_tal_cual_cercania_GAT_LSTM_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\sensores_tal_cual_cercania_GAT_LSTM_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
proximidad_comportamiento,correlacion,GAT_LSTM,0.1,10,2,1,2,4,32,64,0.010650986155944942,0.010441921022773193,0.049400217831134796,0.10218571871519089,23.77923607826233,results\experimentos_epocas_datos\modelos\proximidad_comportamiento_correlacion_GAT_LSTM_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\proximidad_comportamiento_correlacion_GAT_LSTM_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
proximidad_comportamiento,correlacion,GCN_LSTM,0.1,10,2,2,2,4,32,64,0.010084284688125346,0.009788950816906871,0.049584902822971344,0.09893912822008133,17.841564416885376,results\experimentos_epocas_datos\modelos\proximidad_comportamiento_correlacion_GCN_LSTM_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\proximidad_comportamiento_correlacion_GCN_LSTM_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
proximidad_comportamiento,correlacion,GCN_GRU,0.1,10,2,2,2,4,32,64,0.01045860851532517,0.010141287726385869,0.05384451150894165,0.10070396214723587,17.796672821044922,results\experimentos_epocas_datos\modelos\proximidad_comportamiento_correlacion_GCN_GRU_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\proximidad_comportamiento_correlacion_GCN_GRU_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
proximidad_comportamiento,cercania,GCN_LSTM,0.1,10,2,2,2,4,32,64,0.019303675576977212,0.01924631452402331,0.09643325209617615,0.13873109221458435,17.270480394363403,results\experimentos_epocas_datos\modelos\proximidad_comportamiento_cercania_GCN_LSTM_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\proximidad_comportamiento_cercania_GCN_LSTM_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
proximidad_comportamiento,cercania,GCN_GRU,0.1,10,2,2,2,4,32,64,0.019352394826794315,0.019280265583646216,0.09783519059419632,0.13885340094566345,17.57651662826538,results\experimentos_epocas_datos\modelos\proximidad_comportamiento_cercania_GCN_GRU_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\proximidad_comportamiento_cercania_GCN_GRU_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
proximidad_comportamiento,cercania,GAT_LSTM,0.1,10,2,2,2,4,32,64,0.02095856984265771,0.02088391507553193,0.10036053508520126,0.14451268315315247,24.121504306793213,results\experimentos_epocas_datos\modelos\proximidad_comportamiento_cercania_GAT_LSTM_datos_10_epochs_2.pt,results\experimentos_epocas_datos\graficas\curvas_entrenamiento\proximidad_comportamiento_cercania_GAT_LSTM_datos_10_epochs_2.png,results\experimentos_epocas_datos\graficas\pred_vs_real
