caso,tipo_adyacencia,modelo,best_epoch,best_val_loss,test_loss,test_mae,test_rmse,tiempo_minutos,tiempo_horas
proximidad_comportamiento_50,correlacion,GCN_GRU,25,0.0099960556737321,0.0090995381584151,0.0544642470777034,0.0953915044665336,8.13,0.14
proximidad_comportamiento_50,correlacion,GCN_LSTM,25,0.0107542154427542,0.0099421284680778,0.0552072376012802,0.0997102186083793,8.16,0.14
proximidad_sentido_v2_50,cercania,GCN_GRU,23,0.0087972525339027,0.0092096415371476,0.0565477646887302,0.0959668830037117,8.89,0.15
proximidad_sentido_v1_50,cercania,GAT_LSTM,20,0.0101266387528392,0.0108851086596367,0.0566766448318958,0.104331724345684,16.55,0.28
proximidad_50,cercania,GCN_LSTM,25,0.009042722793216,0.0102124735734028,0.0580356232821941,0.1010567918419838,7.6,0.13
proximidad_sentido_v2_50,cercania,GCN_LSTM,24,0.0099722573304502,0.0107578563989554,0.0591327100992202,0.1037200912833213,8.82,0.15
proximidad_50,cercania,GCN_GRU,24,0.0087589843232293,0.0099178648766121,0.059470847249031,0.0995884761214256,7.68,0.13
proximidad_comportamiento_50,correlacion,GAT_LSTM,25,0.0126854028430836,0.0122525180410383,0.0628255903720855,0.1106910929083824,13.23,0.22
proximidad_50,cercania,GAT_LSTM,19,0.010550422858842,0.0119524702753526,0.0640845596790313,0.1093273535370826,12.45,0.21
proximidad_sentido_v2_50,cercania,GAT_LSTM,25,0.0112211723259017,0.0120752097441737,0.06463223695755,0.1098872572183609,14.07,0.23
proximidad_comportamiento_500,cercania,GCN_LSTM,24,0.0183279723135027,0.0181480752257945,0.0846946984529495,0.1347147822380066,21.43,0.36
proximidad_comportamiento_500,cercania,GCN_GRU,25,0.0179115664865611,0.0178255315146852,0.0879409164190292,0.1335122883319854,21.88,0.36
proximidad_comportamiento_50,cercania,GAT_LSTM,25,0.0178793859993933,0.0175776716876716,0.0882027149200439,0.132580816745758,13.27,0.22
proximidad_comportamiento_500,cercania,GAT_LSTM,25,0.0204129111122667,0.0203047280555115,0.0949078351259231,0.1424946635961532,30.55,0.51
proximidad_comportamiento_50,cercania,GCN_GRU,23,0.0266317955678661,0.027072320227631,0.1171441078186035,0.1645366847515106,8.16,0.14
proximidad_comportamiento_50,cercania,GCN_LSTM,25,0.0273834705840518,0.0276388545850666,0.1223520413041114,0.1662493795156479,8.23,0.14
