caso,tipo_adyacencia,modelo,fraccion_datos,porcentaje_datos,max_epochs,best_epoch,epochs_ejecutadas,batch_size,hidden_channels,lstm_hidden,best_val_loss,test_loss,test_mae,test_rmse,tiempo_segundos,modelo_guardado,curva_guardada,pred_vs_real_dir
proximidad_sentido_v2_50,cercania,GCN_LSTM,0.001,0,1,1,1,4,32,64,0.01787602350653967,0.019443082070276646,0.068470798432827,0.1394384503364563,6.648154020309448,results\experimentos_epocas_datos\run_20260430_134001\modelos\proximidad_sentido_v2_50_cercania_GCN_LSTM_datos_0_epochs_1.pt,results\experimentos_epocas_datos\run_20260430_134001\graficas\curvas_entrenamiento\proximidad_sentido_v2_50_cercania_GCN_LSTM_datos_0_epochs_1.png,results\experimentos_epocas_datos\run_20260430_134001\graficas\pred_vs_real
sensores_tal_cual,correlacion,GCN_LSTM,0.001,0,1,1,1,4,32,64,0.013011989806007181,0.013561467064069436,0.0700417309999466,0.11645371466875076,59.61523628234863,results\experimentos_epocas_datos\run_20260430_134001\modelos\sensores_tal_cual_correlacion_GCN_LSTM_datos_0_epochs_1.pt,results\experimentos_epocas_datos\run_20260430_134001\graficas\curvas_entrenamiento\sensores_tal_cual_correlacion_GCN_LSTM_datos_0_epochs_1.png,results\experimentos_epocas_datos\run_20260430_134001\graficas\pred_vs_real
proximidad_sentido_v2_50,correlacion,GCN_LSTM,0.001,0,1,1,1,4,32,64,0.014245266097957272,0.015412612681531476,0.07014863938093185,0.12414754182100296,6.866878509521484,results\experimentos_epocas_datos\run_20260430_134001\modelos\proximidad_sentido_v2_50_correlacion_GCN_LSTM_datos_0_epochs_1.pt,results\experimentos_epocas_datos\run_20260430_134001\graficas\curvas_entrenamiento\proximidad_sentido_v2_50_correlacion_GCN_LSTM_datos_0_epochs_1.png,results\experimentos_epocas_datos\run_20260430_134001\graficas\pred_vs_real
proximidad_sentido_v2_500,cercania,GCN_LSTM,0.001,0,1,1,1,4,32,64,0.014945783765889856,0.015162889515606867,0.0734119862318039,0.12313768267631531,14.127257823944092,results\experimentos_epocas_datos\run_20260430_134001\modelos\proximidad_sentido_v2_500_cercania_GCN_LSTM_datos_0_epochs_1.pt,results\experimentos_epocas_datos\run_20260430_134001\graficas\curvas_entrenamiento\proximidad_sentido_v2_500_cercania_GCN_LSTM_datos_0_epochs_1.png,results\experimentos_epocas_datos\run_20260430_134001\graficas\pred_vs_real
proximidad_50,cercania,GCN_GRU,0.001,0,1,1,1,4,32,64,0.013451084945535888,0.015112524112144119,0.07391537725925446,0.12293300777673721,6.9736328125,results\experimentos_epocas_datos\run_20260430_134001\modelos\proximidad_50_cercania_GCN_GRU_datos_0_epochs_1.pt,results\experimentos_epocas_datos\run_20260430_134001\graficas\curvas_entrenamiento\proximidad_50_cercania_GCN_GRU_datos_0_epochs_1.png,results\experimentos_epocas_datos\run_20260430_134001\graficas\pred_vs_real
sensores_tal_cual,correlacion,GCN_GRU,0.001,0,1,1,1,4,32,64,0.013264895038380714,0.01378450245211746,0.07415444403886795,0.1174074187874794,77.5657331943512,results\experimentos_epocas_datos\run_20260430_134001\modelos\sensores_tal_cual_correlacion_GCN_GRU_datos_0_epochs_1.pt,results\experimentos_epocas_datos\run_20260430_134001\graficas\curvas_entrenamiento\sensores_tal_cual_correlacion_GCN_GRU_datos_0_epochs_1.png,results\experimentos_epocas_datos\run_20260430_134001\graficas\pred_vs_real
proximidad_sentido_v2_50,cercania,GCN_GRU,0.001,0,1,1,1,4,32,64,0.013932588401946406,0.014987243907042605,0.07430736720561981,0.12242240458726883,7.086795806884766,results\experimentos_epocas_datos\run_20260430_134001\modelos\proximidad_sentido_v2_50_cercania_GCN_GRU_datos_0_epochs_1.pt,results\experimentos_epocas_datos\run_20260430_134001\graficas\curvas_entrenamiento\proximidad_sentido_v2_50_cercania_GCN_GRU_datos_0_epochs_1.png,results\experimentos_epocas_datos\run_20260430_134001\graficas\pred_vs_real
proximidad_50,cercania,GCN_LSTM,0.001,0,1,1,1,4,32,64,0.01818659224991033,0.020551238351966136,0.07555653154850006,0.1433570235967636,6.563409328460693,results\experimentos_epocas_datos\run_20260430_134001\modelos\proximidad_50_cercania_GCN_LSTM_datos_0_epochs_1.pt,results\experimentos_epocas_datos\run_20260430_134001\graficas\curvas_entrenamiento\proximidad_50_cercania_GCN_LSTM_datos_0_epochs_1.png,results\experimentos_epocas_datos\run_20260430_134001\graficas\pred_vs_real
proximidad_50,correlacion,GCN_GRU,0.001,0,1,1,1,4,32,64,0.013894511069303577,0.015599936112324218,0.0757119208574295,0.12489970773458481,6.621009826660156,results\experimentos_epocas_datos\run_20260430_134001\modelos\proximidad_50_correlacion_GCN_GRU_datos_0_epochs_1.pt,results\experimentos_epocas_datos\run_20260430_134001\graficas\curvas_entrenamiento\proximidad_50_correlacion_GCN_GRU_datos_0_epochs_1.png,results\experimentos_epocas_datos\run_20260430_134001\graficas\pred_vs_real
proximidad_sentido_v1_50,correlacion,GCN_GRU,0.001,0,1,1,1,4,32,64,0.013648317489798263,0.014985112427117862,0.0770072191953659,0.12241368740797043,8.30072283744812,results\experimentos_epocas_datos\run_20260430_134001\modelos\proximidad_sentido_v1_50_correlacion_GCN_GRU_datos_0_epochs_1.pt,results\experimentos_epocas_datos\run_20260430_134001\graficas\curvas_entrenamiento\proximidad_sentido_v1_50_correlacion_GCN_GRU_datos_0_epochs_1.png,results\experimentos_epocas_datos\run_20260430_134001\graficas\pred_vs_real
proximidad_sentido_v1_500,correlacion,GCN_LSTM,0.001,0,1,1,1,4,32,64,0.011272893600485395,0.011472118993207778,0.07770615071058273,0.107107974588871,18.07491707801819,results\experimentos_epocas_datos\run_20260430_134001\modelos\proximidad_sentido_v1_500_correlacion_GCN_LSTM_datos_0_epochs_1.pt,results\experimentos_epocas_datos\run_20260430_134001\graficas\curvas_entrenamiento\proximidad_sentido_v1_500_correlacion_GCN_LSTM_datos_0_epochs_1.png,results\experimentos_epocas_datos\run_20260430_134001\graficas\pred_vs_real
sensores_tal_cual,correlacion,GAT_LSTM,0.001,0,1,1,1,4,32,64,0.013074224444766346,0.013484191832723386,0.08163318037986755,0.11612145602703094,76.53371787071228,results\experimentos_epocas_datos\run_20260430_134001\modelos\sensores_tal_cual_correlacion_GAT_LSTM_datos_0_epochs_1.pt,results\experimentos_epocas_datos\run_20260430_134001\graficas\curvas_entrenamiento\sensores_tal_cual_correlacion_GAT_LSTM_datos_0_epochs_1.png,results\experimentos_epocas_datos\run_20260430_134001\graficas\pred_vs_real
