epoch,train_loss,val_loss,val_mae,val_rmse
1,0.004230889219198694,0.0031393904251553134,0.027347320690751076,0.0560302659869194
2,0.002857712279759752,0.0028869687357778676,0.025868451222777367,0.053730521351099014
3,0.002707078728045142,0.0028350738762261906,0.025580594316124916,0.053245414048433304
4,0.002657583660207862,0.0028048393854757867,0.02531225048005581,0.05296073481440544
5,0.0026276449748683112,0.0027790822127611117,0.025124238803982735,0.052717000246047974
