caso,tipo_adyacencia,modelo,best_epoch,best_val_loss,test_loss,test_mae,test_rmse,tiempo_segundos,tiempo_minutos,tiempo_horas
proximidad_sentido_v2_50,cercania,GCN_LSTM,20,0.008639297110063,0.008820857859596,0.0555963926017284,0.0939194187521934,1412.8869142532349,23.55,0.39
proximidad_comportamiento_50,correlacion,GCN_GRU,25,0.0091744857000899,0.0097077072034647,0.0570160560309886,0.0985276997089386,1082.035321474075,18.03,0.3
proximidad_sentido_v1_50,cercania,GAT_LSTM,25,0.0086742063708327,0.0091140214376795,0.0571897067129612,0.0954673811793327,2147.396807193756,35.79,0.6
proximidad_comportamiento_50,correlacion,GCN_LSTM,25,0.0101854097810976,0.010777668390469,0.0588768757879734,0.1038155555725097,1064.699584722519,17.74,0.3
proximidad_50,cercania,GCN_LSTM,25,0.008432718925178,0.0106911247228214,0.0591838434338569,0.1033978909254074,1029.8485610485077,17.16,0.29
proximidad_50,cercania,GAT_LSTM,17,0.0093316611477438,0.0111344794202366,0.0594392195343971,0.1055200472474098,1548.7866373062134,25.81,0.43
proximidad_sentido_v2_50,cercania,GAT_LSTM,25,0.0100823335165594,0.0102379292732587,0.0601535327732563,0.1011826545000076,1706.9632263183594,28.45,0.47
proximidad_50,cercania,GCN_GRU,23,0.008621646337395,0.0099228258279186,0.0611012130975723,0.0996133834123611,1021.9784200191498,17.03,0.28
proximidad_comportamiento_50,correlacion,GAT_LSTM,24,0.013311790757709,0.0143237525068315,0.069669060409069,0.1196818798780441,1616.9536743164062,26.95,0.45
proximidad_comportamiento_500,cercania,GCN_LSTM,24,0.0192274643821112,0.0193884013059698,0.0887820646166801,0.1392422318458557,2757.169184923172,45.95,0.77
proximidad_comportamiento_500,cercania,GCN_GRU,24,0.0190468650081275,0.0192103688593631,0.0908118113875389,0.138601467013359,2747.528317451477,45.79,0.76
proximidad_comportamiento_50,cercania,GAT_LSTM,25,0.0164208703202965,0.0166842260064534,0.0941661447286605,0.1291674375534057,1633.4382519721985,27.22,0.45
proximidad_comportamiento_500,cercania,GAT_LSTM,25,0.0211607323200614,0.0213753520016684,0.0974631235003471,0.1462031155824661,3906.2955825328822,65.1,1.09
proximidad_comportamiento_50,cercania,GCN_GRU,21,0.0281041586104734,0.0286463688553115,0.1292754709720611,0.1692523807287216,1091.7932069301603,18.2,0.3
proximidad_comportamiento_50,cercania,GCN_LSTM,25,0.0284212633967399,0.0290229394572016,0.1325417011976242,0.1703612059354782,1064.8640971183777,17.75,0.3
