epoch,train_loss,val_loss,val_mae,val_rmse
1,0.15823554640647564,0.012241362768559638,0.0747593492269516,0.11064068973064423
2,0.011302637395885582,0.011305694926622624,0.055978480726480484,0.10632824152708054
3,0.011210443417306938,0.011302532613462438,0.05662965402007103,0.10631337016820908
4,0.01120281128738171,0.01129864205860661,0.05695459991693497,0.10629507154226303
5,0.011194806501366663,0.011291146700945314,0.05698302015662193,0.10625980794429779
6,0.011186098850214602,0.011281020571446176,0.056868840008974075,0.10621214658021927
7,0.01117642374684918,0.01126851707814644,0.05662406235933304,0.10615327209234238
8,0.011165518221280023,0.011255465288127249,0.056412361562252045,0.10609177500009537
9,0.011153416387307857,0.011242768605309065,0.056364770978689194,0.10603192448616028
10,0.011140314876550225,0.011229851188529157,0.0564332976937294,0.10597098618745804
11,0.011126133141995025,0.011215755419540755,0.05651867762207985,0.1059044674038887
12,0.01111056589231753,0.011199299550907472,0.056529052555561066,0.10582674294710159
13,0.011093239054844382,0.011179585619482714,0.05640894174575806,0.10573355853557587
14,0.011073788185975635,0.011156968013478052,0.05620010197162628,0.10562654584646225
15,0.011051965317809184,0.011132236256875922,0.056007083505392075,0.10550940781831741
16,0.011027455000980903,0.011104829746044112,0.05585888400673866,0.10537945479154587
17,0.01099872598438071,0.01107020132268861,0.05555485188961029,0.10521502047777176
18,0.010953653091497189,0.01100126267084957,0.05352706089615822,0.10488690435886383
19,0.01078645229054841,0.01066897571103702,0.05052972584962845,0.10329073667526245
20,0.010402120534469381,0.010394999667009838,0.05028574913740158,0.10195587575435638
21,0.010233733096093761,0.010277510437752808,0.0499391034245491,0.10137806087732315
22,0.010130286010826592,0.01018434644384524,0.04955007880926132,0.1009175255894661
23,0.010045234630281763,0.010100207842348257,0.04899556562304497,0.10049979388713837
24,0.009966140081741034,0.010015512480238626,0.047755662351846695,0.10007753223180771
25,0.009887104109199974,0.009933708260849152,0.04591331630945206,0.099667988717556
