epoch,train_loss,val_loss,val_mae,val_rmse
1,0.13302861621898954,0.009352910740587743,0.05652100220322609,0.0967104434967041
2,0.008111293285953758,0.008980476919049452,0.05207338556647301,0.09476537257432938
3,0.007878879907186746,0.008709822620509233,0.051112521439790726,0.09332643449306488
4,0.007589195427069586,0.008323774272499368,0.050403695553541183,0.0912347212433815
5,0.007176841535753282,0.007736056270438972,0.049329981207847595,0.08795485645532608
6,0.006521455260458161,0.0067646467147699256,0.04425270855426788,0.08224747329950333
7,0.005299577583331305,0.004966929176828871,0.03509819880127907,0.07047644257545471
8,0.004256755348426343,0.004713516055850354,0.03101653791964054,0.06865505129098892
9,0.004134869010842192,0.004643758690503418,0.03192402049899101,0.06814513355493546
10,0.004065745152645657,0.0046262745816615155,0.03327857702970505,0.06801672279834747
11,0.004021135080249169,0.004630745410455169,0.034684617072343826,0.06804957985877991
12,0.003988404678513932,0.004566934494330131,0.03350153565406799,0.06757909804582596
13,0.003958150050989927,0.004534256308570452,0.03333752229809761,0.06733688712120056
14,0.003931365009650626,0.004510348130315192,0.03339874744415283,0.06715912371873856
15,0.003906807323368806,0.004483151323458598,0.03326744586229324,0.06695634126663208
16,0.0038847654579343364,0.004461547020017295,0.033270224928855896,0.06679481267929077
17,0.003865115531961849,0.004440263666641558,0.03320140019059181,0.06663530319929123
18,0.003846687243627361,0.004422320348465625,0.03317318484187126,0.06650052964687347
19,0.003829448386060276,0.004402932629961035,0.03300834447145462,0.06635459512472153
20,0.003813421625353077,0.004384739548799644,0.03278747946023941,0.06621736288070679
21,0.0037989872137098677,0.004368978634599233,0.03258658945560455,0.06609825044870377
22,0.003786469197196309,0.004355479383646357,0.03241625055670738,0.06599605828523636
23,0.0037751023017189066,0.004343430698246254,0.032253947108983994,0.06590471416711807
24,0.003764846143770203,0.0043327373848652375,0.03211797773838043,0.06582353264093399
25,0.0037552707365265947,0.00432378484470251,0.03202928230166435,0.06575549393892288
