epoch,train_loss,val_loss,val_mae,val_rmse
1,0.10596800255084818,0.02369748247452474,0.10671515762805939,0.1539398729801178
2,0.02214388972246827,0.023203490251624905,0.10601352900266647,0.15232692658901215
3,0.02148549595204949,0.022389526414377428,0.10231760144233704,0.1496312916278839
4,0.020910603232137503,0.02202373311212494,0.09904450923204422,0.14840395748615265
5,0.020745979177223647,0.021951892611282834,0.0979653000831604,0.14816170930862427
6,0.02072014011799238,0.021941454857850467,0.09769736230373383,0.148126482963562
7,0.0207174499479289,0.021939842242716903,0.09767588973045349,0.14812104403972626
8,0.020716595510841918,0.02193881571074,0.09778924286365509,0.14811758697032928
9,0.020716110617860738,0.02193832136340413,0.0979897603392601,0.14811590313911438
10,0.020716167379273877,0.021939081528369604,0.0982876792550087,0.14811846613883972
11,0.020716189738522548,0.021940439766585898,0.0985618606209755,0.14812305569648743
12,0.020715976751383668,0.021941528796764434,0.0987321212887764,0.1481267213821411
13,0.020715752344400217,0.02194296320863112,0.09891378879547119,0.1481315791606903
14,0.020715688544346644,0.021944577940307408,0.09908520430326462,0.14813703298568726
15,0.020715756150389498,0.021947248358406415,0.09932390600442886,0.14814603328704834
16,0.02071591367855931,0.021950438717154724,0.09957053512334824,0.1481568068265915
17,0.020716133297090267,0.02195445898828369,0.09984154999256134,0.1481703817844391
18,0.020716629559244557,0.021957191451508488,0.10000947117805481,0.14817959070205688
19,0.020717268616373952,0.021955234192303007,0.09988442808389664,0.148172989487648
20,0.020717842437758555,0.02195069414249388,0.09958043694496155,0.14815765619277954
21,0.020718469344999088,0.021945110621799734,0.09913422912359238,0.14813882112503052
22,0.020719241075949645,0.021940552875767304,0.09865149110555649,0.14812342822551727
23,0.020720142098870926,0.021938561230950435,0.09835323691368103,0.14811670780181885
24,0.020721141434736755,0.021938636111036452,0.09835793823003769,0.14811696112155914
