epoch,train_loss,val_loss,val_mae,val_rmse
1,0.05807246331205258,0.00786105394866821,0.0540003664791584,0.08866257965564728
2,0.0074106743470097065,0.007835200964774145,0.05299365893006325,0.08851666748523712
3,0.007389555548690729,0.007817168186006128,0.052336473017930984,0.0884147509932518
4,0.007370820788605612,0.007801670832811175,0.0518387109041214,0.0883270651102066
5,0.007353885038298384,0.0077862881121830855,0.05160016566514969,0.08823994547128677
6,0.007337654944772009,0.007769842195454832,0.0515831783413887,0.08814670890569687
7,0.007320910558029446,0.007751622494445844,0.05162949115037918,0.08804330229759216
8,0.007302520749738595,0.007730346386453309,0.05169327184557915,0.08792238682508469
9,0.007280794564653329,0.007707079551833847,0.05194878950715065,0.08778997510671616
10,0.0072528672005784155,0.0076765965584985095,0.05206802859902382,0.08761619031429291
11,0.007215651032521908,0.007629715966675802,0.05174490809440613,0.08734824508428574
12,0.007167934346944094,0.007569723154093138,0.051444992423057556,0.087004154920578
13,0.007105709875814185,0.0074898920708131285,0.05103602260351181,0.08654416352510452
14,0.006999574186894996,0.007289468415834438,0.051528092473745346,0.08537838608026505
15,0.0066511156297844815,0.006727480043938382,0.0478559173643589,0.08202122151851654
16,0.006206354325031979,0.006296323233127559,0.046443719416856766,0.07934937626123428
17,0.005801626888598768,0.006011041473886206,0.04265236854553223,0.07753090560436249
18,0.005707908473130062,0.0060047190723947295,0.0431511290371418,0.07749012112617493
19,0.005685914996823751,0.005984130475810181,0.042360734194517136,0.07735715806484222
20,0.005668712573440309,0.005972882139591717,0.04190734401345253,0.07728442549705505
21,0.005658621595989472,0.005965399779663908,0.0416400209069252,0.07723600417375565
22,0.005651779182170816,0.00595840575232594,0.04120410233736038,0.07719071209430695
23,0.005646724301983863,0.005954218840666475,0.04096628725528717,0.07716358453035355
24,0.005643841142881127,0.00595165271920477,0.04094858467578888,0.07714695483446121
25,0.005642188656887494,0.0059499006272982,0.04100339859724045,0.0771356001496315
