epoch,train_loss,val_loss,val_mae,val_rmse
1,0.11177494241891227,0.00611436576609851,0.04457343369722366,0.07819440960884094
2,0.005674635971279379,0.006046894968943681,0.043088145554065704,0.07776178419589996
3,0.005634202854355952,0.0060045768558261116,0.04231731593608856,0.0774892047047615
4,0.00559297247440261,0.005954516054044634,0.04192093759775162,0.07716551423072815
5,0.005544494913764279,0.005896583026588033,0.04205579310655594,0.07678920775651932
6,0.005485474907556169,0.005805184076442772,0.04201521724462509,0.07619176059961319
7,0.005366416157971627,0.00565528341587611,0.041145119816064835,0.075201615691185
8,0.005243802264623663,0.005534236684888076,0.040904443711042404,0.07439244538545609
9,0.005180560950640242,0.005508353004010983,0.04079148545861244,0.0742182806134224
10,0.00517117471835325,0.00550432619009469,0.040860615670681,0.0741911455988884
11,0.00516857526731919,0.005501744206600793,0.040855810046195984,0.07417374104261398
12,0.005166789620026233,0.005499756126746658,0.04086386412382126,0.07416034489870071
13,0.005165076414850407,0.0054966528811322395,0.04079560190439224,0.07413941621780396
14,0.005163302498937629,0.005493393388372156,0.04073120281100273,0.07411743700504303
15,0.00516126635613422,0.005488702256919774,0.04055304825305939,0.0740857720375061
16,0.0051589031384727665,0.005483465201903209,0.040312014520168304,0.0740504264831543
17,0.005156255266171709,0.005478677447648887,0.04028363153338432,0.07401809096336365
18,0.005151775427003126,0.0054703132713434625,0.0400003120303154,0.07396157085895538
19,0.005145268530469923,0.005462674025695696,0.03997282311320305,0.07390990108251572
20,0.005138980885099629,0.005454665907362058,0.04000845551490784,0.07385571300983429
21,0.005132908598104637,0.00544839449277198,0.04033327102661133,0.07381323724985123
22,0.005127044842913935,0.005441364761087365,0.040476102381944656,0.07376560568809509
23,0.005121191726148278,0.005432406056794906,0.04032520949840546,0.07370485365390778
24,0.005116000667599122,0.0054257190715166995,0.04026465117931366,0.0736594870686531
25,0.00511152924388009,0.0054183574256593346,0.040221452713012695,0.07360949367284775
