epoch,train_loss,val_loss,val_mae,val_rmse
1,0.08265755781692732,0.00994095305740378,0.050961028784513474,0.0997043251991272
2,0.00859852504379278,0.0077295820901802925,0.04517379775643349,0.08791804313659668
3,0.006207141173435774,0.006146928594807725,0.03405578061938286,0.07840235531330109
4,0.005824107362393768,0.00605058373082276,0.034537140280008316,0.07778549939393997
5,0.005773591992424177,0.006017745929944179,0.035228144377470016,0.07757413387298584
6,0.00573770629232679,0.0059791083193737595,0.034907709807157516,0.07732469588518143
7,0.005703359490649902,0.005943129247341187,0.034425266087055206,0.07709169387817383
8,0.005671342386294072,0.0059095060476895365,0.03397553041577339,0.0768733099102974
9,0.00563894822039367,0.0058763367375610645,0.03372923284769058,0.0766572654247284
10,0.005604881464599887,0.005845000177783811,0.03394827991724014,0.0764525979757309
11,0.005566535547835476,0.005788560766293355,0.03355475887656212,0.07608259469270706
12,0.005443657533516662,0.0056251873361815715,0.03586731106042862,0.07500124722719193
13,0.005180159232037269,0.005267629162413884,0.030720436945557594,0.07257843017578125
14,0.004956192684169831,0.005428812524017065,0.04172145947813988,0.07368047535419464
15,0.004824405565613914,0.005434290074210364,0.04329754784703255,0.0737176388502121
16,0.004729609352111892,0.005301692692144882,0.04151056706905365,0.07281272113323212
17,0.004655119120577346,0.005154328102839084,0.038783617317676544,0.07179365307092667
18,0.004597051790504897,0.0050429070070736135,0.03621033951640129,0.0710134282708168
19,0.004556429735678119,0.004858938276168007,0.028710288926959038,0.06970608234405518
20,0.004523299096072426,0.004847148985445465,0.02809683233499527,0.06962146610021591
21,0.004508901813937825,0.00484607584958351,0.029154187068343163,0.06961376219987869
22,0.004500572774934604,0.004852909335951933,0.03003915585577488,0.06966282427310944
23,0.004497762962762895,0.004841352161786111,0.029564375057816505,0.0695798248052597
24,0.004492630080439582,0.0048568808067629395,0.03083931654691696,0.06969132274389267
25,0.004486266365720508,0.004906675079016652,0.03314197435975075,0.07004766166210175
