epoch,train_loss,val_loss,val_mae,val_rmse
1,0.08617107650823422,0.008962504977204964,0.048965200781822205,0.09467051178216934
2,0.006301164584614393,0.0054575603047099085,0.031342923641204834,0.0738753005862236
3,0.0051673619705311,0.005420451374783604,0.030843306332826614,0.07362371683120728
4,0.0051479085346200605,0.00540769144128811,0.030739501118659973,0.07353700697422028
5,0.005137823750347049,0.005396592498622336,0.030460089445114136,0.07346150279045105
6,0.005131800256209725,0.005393862280530634,0.030533084645867348,0.07344292104244232
7,0.005128786446155995,0.005393255672709782,0.030694227665662766,0.07343878597021103
8,0.00512667235564112,0.005394080485251199,0.030930934473872185,0.07344440370798111
9,0.005125041029202548,0.005394445908979265,0.031129850074648857,0.07344689220190048
10,0.005123423982965255,0.005394054447069817,0.031234439462423325,0.07344422489404678
11,0.005121870881054429,0.005394156593238425,0.03135500103235245,0.0734449252486229
12,0.005120442587394333,0.005393673213840091,0.0314241461455822,0.07344163209199905
13,0.005119096862400884,0.005392754434571809,0.031480684876441956,0.07343537360429764
14,0.005118091218408094,0.005390191171099416,0.03142798691987991,0.07341791689395905
15,0.00511723562995305,0.005386449151467773,0.03129493072628975,0.07339243590831757
16,0.005116383290570464,0.005382737437576126,0.031142588704824448,0.07336714118719101
17,0.005115658795972465,0.00538055853618333,0.03107965737581253,0.07335229218006134
18,0.005115054230386349,0.005380864188919932,0.031175736337900162,0.07335437089204788
19,0.005114669559443703,0.005379991655125251,0.031224768608808517,0.07334842532873154
20,0.005114328229720106,0.005378145523715138,0.031183267012238503,0.07333584129810333
21,0.005114063142003581,0.005376796378205792,0.03116912581026554,0.07332663983106613
22,0.005113867364861352,0.005377014965961493,0.03122711181640625,0.07332812994718552
23,0.005113937187311181,0.005376024938874673,0.031230352818965912,0.0733213797211647
24,0.005113869913682454,0.005377950362935575,0.031424716114997864,0.07333450764417648
25,0.005114132014363629,0.005381266375266007,0.03168535232543945,0.07335712015628815
