source,target,distance,weight
0,26,3900.1345548621916,0.20022966591455682
0,15,4183.327136583487,0.17816062143688535
0,33,4656.6615732515165,0.14656918799636967
0,32,4928.685744131281,0.1310165377611416
0,14,4980.000980067326,0.12827325617630467
1,6,1540.0243274700263,0.52990550733424
1,31,2187.679360220258,0.4057051100861871
1,7,2731.703319160652,0.32417664114570693
1,33,3520.8027861182054,0.2341329875723578
1,5,3954.6371103315246,0.19577967772257882
2,3,1070.0614069360415,0.6432261149638516
2,4,1503.2838996094024,0.5379950046985298
2,5,1512.972860556753,0.5358497790523996
2,9,1887.5500193578846,0.4591561129948304
2,8,2098.916523183321,0.4208302346843077
3,4,562.7216923440326,0.7929077815580557
3,2,1070.0614069360415,0.6432261149638516
3,5,2570.379212372031,0.3464759600427572
3,9,2884.6697526218013,0.3043596651559199
3,8,2927.884090353446,0.2989839538964398
4,3,562.7216923440326,0.7929077815580557
4,2,1503.2838996094024,0.5379950046985298
4,5,2927.947962549845,0.29897607910884316
4,7,3084.0847383323553,0.28033288584918287
4,9,3377.383479232861,0.24839762610755822
5,9,1164.3191013917326,0.6187043123046162
5,2,1512.972860556753,0.5358497790523996
5,8,1856.3603034179966,0.4650997528877977
5,3,2570.379212372031,0.3464759600427572
5,4,2927.947962549845,0.29897607910884316
6,7,1275.2898720639482,0.5910299484638822
6,1,1540.0243274700263,0.52990550733424
6,31,3098.7405119288364,0.2786437835701578
6,4,3403.5158691990155,0.24573522493328526
6,2,3514.6171753278827,0.23473096396459148
7,6,1275.2898720639482,0.5910299484638822
7,1,2731.703319160652,0.32417664114570693
7,4,3084.0847383323553,0.28033288584918287
7,3,3509.4936202696576,0.2352274253711995
7,2,3734.9747179754095,0.21434173847736998
8,9,761.0094916915749,0.7306535471031398
8,5,1856.3603034179966,0.4650997528877977
8,2,2098.916523183321,0.4208302346843077
8,3,2927.884090353446,0.2989839538964398
8,4,3471.2152394857517,0.23896989667440333
9,8,761.0094916915749,0.7306535471031398
9,5,1164.3191013917326,0.6187043123046162
9,2,1887.5500193578846,0.4591561129948304
9,3,2884.6697526218013,0.3043596651559199
9,4,3377.383479232861,0.24839762610755822
10,12,1393.8961231091425,0.5628185479909851
10,13,1792.232285573254,0.4775630724389027
10,30,2519.2526871883874,0.3538582375208532
10,27,2651.2077834093866,0.3351178730763362
10,11,2711.4467332380223,0.3268958836153222
11,12,2101.053560555271,0.42045954325768065
11,10,2711.4467332380223,0.3268958836153222
11,13,3066.9843679482537,0.2823166797288443
11,26,3247.1138659002704,0.2621062087029384
11,39,3404.2360183263813,0.24566226066924973
12,10,1393.8961231091425,0.5628185479909851
12,11,2101.053560555271,0.42045954325768065
12,27,2110.253281153083,0.41886748057085676
12,30,2739.7974705879556,0.3230964184590633
12,13,2925.5802792456893,0.29926812891382537
13,10,1792.232285573254,0.4775630724389027
13,12,2925.5802792456893,0.29926812891382537
13,11,3066.9843679482537,0.2823166797288443
