fecha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
2025-04-01 00:00:00,0.9727401792823873,0.9304887820512822,0.942706980140435,0.9850746268656717,0.9981060606060606,0.7777777777777778,0.9321670653907496,0.9814594272722352,0.9761758131243682,1.0,0.9594272790369289,0.9801163491401288,1.0,0.9849200646500559,0.9220789241622575,0.9785714285714285,0.8934659090909092,0.9456955176100886,0.9857866098553674,1.0,0.9696346657032439,0.9963263586099571,0.9229386026956623,0.9943999275009279,0.9858986918949562,0.99812891357009,0.9352234592288634,0.9585035839829501,0.9880958558184586,0.9914742682294864,0.9921455938697317,0.8888888888888888,0.998167131746893,1.0,0.9975271295496015,0.8993020912068531,0.9281879903252725,0.9951923076923077,0.9016482689203584,0.9609961545504486,0.8716066252587991,0.9977064220183487,0.9911111111111112,1.0,0.9574128620520374,1.0,0.9954954954954955,0.9333333333333333
2025-04-01 00:15:00,0.9709669030335702,0.9869505494505495,0.9105491684539583,0.9929078014184397,1.0,0.5,0.9294270833333333,0.9985539488320355,1.0,1.0,0.9966666666666667,1.0,1.0,0.9844961240310078,0.9220789241622575,0.9785714285714285,0.8763888888888889,0.9520848058039021,0.9838876966305147,1.0,0.9932555367337975,0.998062015503876,0.919110800055868,0.9966281534325889,0.9887980584043526,0.9950715751416845,0.9493260347418256,0.9752041300165738,0.9994226327944573,0.992059154837994,0.9979166666666668,1.0,0.9992038216560509,1.0,0.9984939759036144,0.9297227401598939,0.8859696430045153,1.0,0.8985748328602231,0.9847328244274809,0.8595823987561456,1.0,0.9931972789115647,1.0,0.8523502798865118,1.0,1.0,0.9333333333333333
2025-04-01 00:30:00,0.9742484488735494,0.9333333333333333,0.9566666666666667,0.9792353328938694,1.0,0.625,0.9869505494505495,0.9953771605901424,0.9956063808194906,1.0,0.9954337899543378,0.9942857142857143,0.9980392156862745,0.9798449612403101,0.9220789241622575,0.9785714285714285,0.8489304812834224,0.9625,0.9776210016291567,1.0,0.9907936507936509,1.0,0.9185650984716244,0.9986376147921399,0.9920789930555556,0.99375,0.9568037139477107,0.968285284859938,0.9981894841269842,0.9861908936725969,0.9911004784688995,0.8333333333333334,0.9585152838427948,1.0,1.0,0.9809729750509362,0.9110267789252485,1.0,0.8736938967449794,0.9642401021711366,0.892145925378814,0.9978448275862069,1.0,0.8803418803418803,0.7626506024096386,1.0,1.0,0.9333333333333333
2025-04-01 00:45:00,0.9728880068536376,0.9854102185846608,0.9061375661375661,0.9962962962962963,1.0,1.0,1.0,0.994305078708828,1.0,1.0,0.9982456140350878,0.9890463686147768,1.0,0.9705426356589147,0.9220789241622575,0.9785714285714285,0.9060314685314685,0.9203460550887023,0.9842066674253551,1.0,0.9907407407407408,0.9947916666666666,0.9354947681177309,0.9958272822181784,0.9918981481481481,0.9942573671071032,0.9406693900384688,0.9574439035780631,0.9943361433087461,0.9934782608695653,1.0,1.0,0.96,1.0,0.9982876712328768,0.9707221350078493,0.9310418322277906,1.0,0.8963780908633849,0.9928571428571429,0.8111921369689284,0.9973404255319149,1.0,0.8835978835978836,0.8222222222222223,1.0,1.0,0.9333333333333333
2025-04-01 01:00:00,0.9748554134628943,0.998,0.9802592223330009,1.0,1.0,1.0,0.9949324324324325,0.9986099278059279,0.9969594594594594,1.0,0.9858101135190919,0.990909090909091,1.0,0.9844961240310078,0.9220789241622575,0.9785714285714285,0.8502051983584131,0.9486785144679881,0.9785102369286043,1.0,0.9922345695541571,0.9965641224449461,0.9245496424641754,0.998641304347826,0.9858108108108108,1.0,0.949593968308524,0.967484574752485,0.9990530303030303,0.9914274106175515,0.9888888888888889,1.0,0.9472049689440993,1.0,1.0,0.9826530612244897,0.9657944923089786,1.0,0.9109939759036144,1.0,0.8755055493330618,1.0,1.0,0.8194444444444445,0.910974707239563,1.0,1.0,0.9333333333333333
2025-04-01 01:15:00,0.974274975443102,1.0,0.9520889144023472,0.9885057471264368,1.0,0.33333333333333337,1.0,0.9987028429358988,0.9722799722799723,1.0,0.9810363247863249,1.0,1.0,0.9896640826873385,0.9220789241622575,0.9785714285714285,0.8847222222222222,0.9393939393939394,0.9844340064219582,1.0,0.98989898989899,0.9970501474926253,0.931482303553382,0.9988839285714286,0.9943181818181819,1.0,0.9387113937955452,0.9488619577000972,0.9988425925925926,0.990530303030303,0.9875,0.6212121212121212,0.9965277777777778,1.0,1.0,0.9238095238095239,0.9208333333333333,1.0,0.9309137211976019,0.9577677224736048,0.8128805976632064,0.997093023255814,1.0,0.8433048433048432,0.9696969696969697,1.0,1.0,0.9333333333333333
2025-04-01 01:30:00,0.9760510958144861,1.0,0.9785144485144486,0.9797979797979798,1.0,1.0,1.0,0.9936876500730253,0.9921609123736783,1.0,0.8888888888888888,0.9835796387520526,1.0,0.9832721338229294,0.9220789241622575,0.9785714285714285,0.7553571428571428,0.9324009324009325,0.9821676649989902,1.0,0.990463389656938,0.9948717948717949,0.9459853898378489,0.9965277777777778,0.9513095238095238,0.9921875,0.9417892547208403,0.9714631526384244,1.0,0.9940075086638429,0.9935483870967742,1.0,1.0,1.0,1.0,1.0,0.9472222222222222,1.0,0.8994941331417625,1.0,0.7842788971367975,1.0,1.0,0.8379629629629629,0.7777777777777778,1.0,1.0,0.9333333333333333
2025-04-01 01:45:00,0.9753313247309424,1.0,0.9300740774176722,0.9791666666666666,1.0,1.0,1.0,0.9986477349560514,0.9876348764357814,1.0,1.0,1.0,1.0,0.9798449612403101,0.9220789241622575,0.9785714285714285,0.838907469342252,0.9851143009037746,0.9781894031894032,1.0,0.9880952380952381,1.0,0.9300800799262775,0.9981617647058824,1.0,1.0,0.9394782241642439,0.9975450361169838,0.99375,0.9948979591836735,0.9857142857142858,1.0,0.9933774834437086,1.0,1.0,0.9935064935064936,0.9837962962962963,1.0,0.8507287807642142,1.0,0.824830724830725,1.0,1.0,0.775,1.0,1.0,1.0,0.9333333333333333
2025-04-01 02:00:00,0.9767705989874998,0.9941176470588236,0.9207538802660753,1.0,1.0,0.75,0.9791666666666666,0.9987245478977816,0.9916564916564917,1.0,0.9444444444444445,1.0,1.0,0.9844961240310078,0.9220789241622575,0.9785714285714285,0.8925170068027211,0.9659090909090909,0.9773100907029478,1.0,0.9847883597883599,1.0,0.9201256044276982,1.0,0.9910714285714286,0.9910714285714286,0.9509700278066096,0.96900164071494,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9463235294117647,1.0,0.8844849896480331,0.9642857142857143,0.8284246112237998,1.0,1.0,0.8115079365079364,0.7777777777777778,1.0,1.0,0.9333333333333333
2025-04-01 02:15:00,0.9749841724002419,1.0,0.9854545454545455,1.0,1.0,0.33333333333333337,0.9760416666666667,0.9984787018255579,0.996923076923077,1.0,1.0,0.9913043478260869,1.0,1.0,0.9220789241622575,0.9785714285714285,0.9107142857142857,0.9422619047619047,0.976451560487705,1.0,0.9916666666666667,1.0,0.9192309415348631,1.0,0.996875,1.0,0.9367988090814178,0.971190138927512,1.0,0.9967105263157895,1.0,1.0,1.0,1.0,1.0,1.0,0.9452991452991454,1.0,0.8287457270879527,1.0,0.7749202904375319,1.0,1.0,0.8412698412698413,1.0,1.0,1.0,0.9333333333333333
