epoch,train_loss,val_loss,val_mae,val_rmse
1,0.10679474299891623,0.023175855408975557,0.11221776157617569,0.1522361785173416
2,0.023069809304021326,0.02293406448770592,0.10279541462659836,0.15143996477127075
3,0.022994520272437823,0.02289885945164054,0.10306829959154129,0.15132369101047516
4,0.022955698034594067,0.022858688435422648,0.10331065952777863,0.15119090676307678
5,0.022910925229433717,0.022814100339134176,0.10351059585809708,0.1510433703660965
6,0.022860943992637064,0.022764208400727126,0.10346680879592896,0.15087813138961792
7,0.02280575668337441,0.02270842727029835,0.10328929126262665,0.1506931483745575
8,0.022744581952193654,0.022646055323477524,0.10306614637374878,0.1504860669374466
9,0.022676346857816224,0.02257627544769046,0.10291914641857147,0.150254026055336
10,0.022599709587442916,0.022497397950486726,0.10285501927137375,0.14999131858348846
11,0.022320166340140137,0.021913048455966783,0.09985361993312836,0.14803056418895721
12,0.021485211486271687,0.020964524921021396,0.09617301821708679,0.14479131996631622
13,0.02045444864734654,0.019813757982634798,0.09707673639059067,0.1407613456249237
14,0.019462150467057765,0.019155139885590523,0.09497934579849243,0.1384020894765854
15,0.01911558047293838,0.018919668044751977,0.09168616682291031,0.1375487744808197
16,0.01900300135755804,0.018836708312631328,0.08859898895025253,0.13724687695503235
17,0.018957609484665166,0.018815158429065757,0.08827508240938187,0.13716836273670197
18,0.018945610548095192,0.01880262801991292,0.08801431208848953,0.13712267577648163
19,0.018935108764604434,0.018793633701721244,0.08778200298547745,0.13708987832069397
20,0.0189295095947121,0.018786971688556482,0.08764573186635971,0.1370655745267868
21,0.018924326812970103,0.01877647095504921,0.08753134310245514,0.13702726364135742
22,0.01891052101868965,0.01876272470322406,0.08760781586170197,0.13697710633277893
23,0.018902898170901024,0.018745582733664907,0.08766292035579681,0.13691452145576477
24,0.018893834453997085,0.018738691917879184,0.08775917440652847,0.13688933849334717
25,0.01888864004401464,0.018734484776417235,0.08781454712152481,0.1368739753961563
