source,target,weight
0,97,0.3744711273335167
0,136,0.34826534376791896
0,44,0.34071387447306145
0,111,0.3287607180027716
0,1,0.3008520689499662
1,111,0.8057644305480124
1,3,0.7951410116941053
1,371,0.768856315337946
1,52,0.7638832379885766
1,14,0.7581057714172748
2,1,0.5965453501634115
2,111,0.5519095529229118
2,3,0.541300839834418
2,14,0.5402322091316398
2,242,0.5380459679831469
3,1,0.7951410116941053
3,14,0.7181286304338487
3,111,0.7136751235607189
3,242,0.6880131029526841
3,371,0.687978290249233
4,3,0.554673343004751
4,1,0.548954010943514
4,14,0.5095580374589602
4,97,0.47860683371155477
4,16,0.47489071343093464
5,1,0.4333058455882173
5,111,0.4191566791028148
5,227,0.4024435948195763
5,242,0.3934254163297078
5,16,0.39166239232557415
6,1,0.6340898292401078
6,3,0.59525429953032
6,14,0.5878503939886575
6,16,0.5859986313559815
6,41,0.5739112013478445
7,1,0.3030402704820488
7,16,0.29674109695799106
7,52,0.28355868469494117
7,371,0.28174109977274014
7,441,0.2812671683630899
8,1,0.4924759876654251
8,14,0.4634252471442321
8,3,0.4631034766808871
8,16,0.4576218942135434
8,111,0.442575464955768
9,99,0.10647926658349145
9,386,0.08774840041601255
9,222,0.08558826271982763
9,396,0.08013390506024859
9,416,0.07807401976412442
10,1,0.22287446575105604
10,44,0.21617456173775246
10,88,0.2084447544997825
10,95,0.20142491740344046
10,111,0.20117629872448184
11,29,0.12362009921354755
11,290,0.11950772100735309
11,97,0.11643853765303279
11,417,0.11534251082607157
11,58,0.1139146308771824
12,1,0.5635102272554754
12,14,0.5391369995402407
12,16,0.5302956671182022
12,111,0.5148685523728206
12,242,0.5123497144083016
13,1,0.5116856640084704
13,374,0.4761280875758513
13,14,0.47223193667980795
13,111,0.46691047583726353
13,371,0.46445927826692607
14,1,0.7581057714172748
14,3,0.7181286304338487
14,16,0.7054228881469748
14,242,0.6916504070169455
14,111,0.6777030669762287
15,1,0.6493367662941296
15,52,0.6035507548531619
15,371,0.5990737853072747
15,374,0.5975552885689369
15,441,0.5913578394787841
16,1,0.7490873265574235
16,14,0.7054228881469748
16,3,0.6774265462005455
16,242,0.6657455406950673
16,52,0.6619416178034677
17,38,0.32105739184823545
17,242,0.22942550667773662
17,1,0.21864245364910329
17,3,0.21333156931320313
17,30,0.21015183564971174
18,14,0.47321299188323923
18,1,0.449681768439408
18,3,0.4431350823061262
18,242,0.4108263379739607
18,111,0.41023693379813286
19,304,0.16668820106612645
19,141,0.1214825823817344
19,128,0.12026227157560555
19,189,0.1151847335455919
19,178,0.1105655857167293
20,1,0.6050227606334079
20,3,0.5826082587806416
20,14,0.5499582119570494
20,111,0.5318921119005725
20,242,0.5318060973316326
21,16,0.1723201415845639
21,450,0.16534170413700736
21,3,0.1634711203170788
21,429,0.16298668667128846
